Time RV eRV BIS FWHM Contrast
53520.86984147 -3.96810447 0.35542222 -60.05942108 6724.92162036 53.56345950
53542.74037364 1.49256159 0.77957327 -59.05914620 6726.81959584 53.38822100
53542.74360280 4.18339402 1.60828904 -56.06025863 6723.86068722 53.15674806
53543.79067839 2.39466920 0.43608593 -56.85356795 6724.08729190 53.43645041
53543.79570331 3.05883551 0.44063623 -56.64215191 6724.90744212 53.43607158
53544.81734049 4.30132895 0.45491460 -55.96186420 6729.92897602 53.39397199
53544.82277699 3.86835150 0.43321352 -57.23835991 6729.14656044 53.40879893
53545.84326778 7.66829141 3.82062445 -53.88678723 6724.69842318 52.32787076
53546.86211089 6.33540679 0.46328253 -54.84558310 6728.53986483 53.38397060
53546.86728012 7.21648654 0.44037644 -57.40289225 6731.11430825 53.37101621
53547.77178479 2.23393290 0.49474187 -57.30924127 6733.40783517 53.34647609
53547.77695411 2.04104666 0.45179007 -54.31118589 6735.65500284 53.33148973
53549.84812742 2.27785251 3.07576404 -56.54937023 6722.85621525 52.96117650
53550.76118100 0.39112628 0.39436031 -55.60908710 6731.79352881 53.35606530
53550.76626546 0.28270163 0.34851053 -54.30925360 6731.52674446 53.36504412
53551.76923112 -0.80423192 0.54513538 -55.11476424 6725.50118541 53.40399941
53551.77430898 0.11214713 0.64064126 -54.58585392 6724.68838039 53.38892306
53573.75307906 -1.31894913 0.27758427 -57.94142119 6727.86979454 53.47925705
53671.58413861 4.09067372 0.48305882 -57.25182017 6727.59981219 53.40104086
53671.58762587 4.14362501 0.52350113 -55.84869835 6728.46580019 53.40257246
53671.59107274 3.97632337 0.56047017 -56.90619016 6727.16024112 53.41854839
53810.90827523 -5.72836372 0.40107518 -60.39428901 6720.41561640 53.50224208
53810.91212390 -5.72435300 0.38612281 -59.79888193 6721.30882748 53.49214395
53810.91597280 -4.16998302 0.36721066 -61.24855812 6720.74543358 53.50196732
53815.91055673 -3.18256879 0.35235752 -57.80099222 6720.72928567 53.52287641
53815.91561789 -4.18094196 0.36356592 -58.17807776 6719.80188503 53.52634786
53816.91501597 -2.47816725 0.38864887 -60.19672843 6723.84566594 53.51270939
53816.92028642 -3.19734529 0.40847003 -60.47560351 6724.68535360 53.49872123
53862.85963917 -2.97215998 0.50893252 -58.91516474 6718.05596042 53.52280966
53862.86320746 -3.84295057 0.48028112 -60.81901805 6718.99660278 53.52401063
53862.86689670 -2.89435167 0.49009694 -59.75817568 6721.13253443 53.51033546
53870.84819721 -0.87034692 0.44802773 -56.26581056 6720.80692535 53.47574171
53870.85370337 -1.26482750 0.46539246 -57.39376589 6722.11190342 53.47111023
53882.86106918 -3.49030158 0.48382693 -56.94359326 6721.90378645 53.46542127
53882.86365636 -3.01609241 0.48297633 -58.03215684 6721.86934535 53.47111099
53882.86643430 -3.26433585 0.48253715 -56.48659370 6719.33957616 53.46209113
53882.86907439 -1.54705954 0.53038426 -57.81290772 6721.24907254 53.46034610
53883.84776739 -2.15923549 0.42571752 -58.46853119 6724.40556582 53.44306283
53883.85167269 -2.00825632 0.42487360 -58.54428187 6725.71136145 53.43858223
53883.85553344 -1.00835736 0.43532902 -57.17728968 6723.54666555 53.46070859
53886.87637314 0.17919295 0.42875130 -58.65230946 6718.81924785 53.47351648
53886.87971030 -0.56073973 0.50789841 -58.97493159 6720.30587632 53.47035556
53886.88296470 1.18335944 0.46995683 -56.53529204 6723.58934089 53.45222403
53917.82243364 -1.08065067 1.23121200 -55.51270516 6729.35185000 53.42606173
53917.82350488 2.83208839 1.28569617 -56.59559329 6720.11336261 53.41140839
53917.82466781 0.73123774 1.34124074 -54.70872040 6732.10904392 53.41375415
53917.82576510 -0.82349687 1.43464079 -53.51291103 6720.94255522 53.43783057
53917.82683265 -0.22283363 1.39453196 -57.27546781 6722.34690095 53.41622966
53917.82792497 3.51546845 1.45225251 -57.88999048 6733.33873493 53.35987443
53917.82901171 0.56703419 1.34241092 -61.01821388 6730.31752514 53.42059092
53917.83011642 0.46759239 1.45533870 -55.47214894 6725.19310470 53.42921069
53917.83119311 3.09242956 1.52561969 -56.71650368 6729.87710251 53.40297053
53917.83232813 2.86607347 1.49071271 -59.52420580 6728.69893868 53.40268534
53919.82115231 -3.34370848 1.35261836 -57.38819550 6728.01497309 53.41935656
53919.82223408 -3.37850743 1.27498839 -56.07635055 6725.11192754 53.48056367
53919.82333716 0.81991375 1.66500791 -55.22925508 6726.32157673 53.41299856
53919.82443712 -4.41756366 1.65697920 -57.76565665 6724.76811370 53.43436472
53919.82555142 -5.89410108 1.63783927 -55.45858629 6722.24629137 53.42772504
53919.82662661 -0.86132650 1.43335546 -58.18821906 6720.04902182 53.45041053
53919.82773224 -1.69661017 1.50409653 -63.30963492 6724.63376592 53.40615224
53919.82884307 -2.85170174 1.50641485 -54.44279921 6727.59804530 53.43139283
53919.82992703 -1.85510814 1.34760640 -58.38163057 6720.97115962 53.41193183
53919.83100710 -2.80169281 1.31910605 -60.62181192 6720.34342732 53.45346135
53921.83138818 -2.01954100 1.75964783 -59.09899322 6726.86751209 53.41212274
53921.83249359 -4.21587841 1.72451907 -58.33138091 6735.25147534 53.32771071
53921.83356391 -2.89327948 1.65064498 -55.93977108 6734.59328657 53.35010335
53921.83466617 -1.60026317 1.71897189 -58.09986317 6730.40792598 53.41630697
53921.83579633 -4.35878754 1.44860572 -62.07109925 6729.49653639 53.38357917
53921.83688401 -4.30048186 1.18221053 -58.53731856 6722.31491013 53.44734866
53921.83796337 -3.74328653 1.06458386 -61.61282986 6730.87747780 53.45059399
53921.83907351 -3.29362943 1.06102644 -56.68391363 6721.08726657 53.47057462
53921.84013988 -1.37229351 1.10019762 -56.43276477 6722.99312959 53.44938509
53921.84123868 -1.87064447 1.08286053 -55.95726619 6725.90299082 53.44974998
53950.74288760 -6.12691710 0.49371138 -59.31857138 6724.94908077 53.49309202
53974.59863618 7.13309016 1.15012386 -55.94319598 6743.65648493 53.23134909
53974.60065464 9.20216298 1.01611680 -52.21357385 6737.87712125 53.26694116
53974.60260743 9.79189468 0.99050025 -51.60422039 6738.32162892 53.26309118
53974.60461253 9.74258079 0.99233529 -53.43217017 6737.73739226 53.27432068
53976.59226176 6.18768811 0.66929185 -53.85269884 6731.23374172 53.34147781
53976.59469962 3.54216707 0.62466564 -55.33392012 6725.31437785 53.35037125
53976.59711803 4.97031168 0.61493844 -54.25573011 6728.15919463 53.34379557
53976.59962447 4.30162769 0.61709480 -54.12209066 6729.46871754 53.35074256
53980.64080477 -3.19340136 0.60700143 -55.38607592 6732.72574434 53.39522461
53980.64372872 -2.89567208 0.61683661 -55.09811846 6731.52072856 53.39659571
53980.64659670 -2.70136754 0.66446283 -53.52085823 6733.31920473 53.37547869
53980.64957450 -4.42005242 0.68996927 -57.30661816 6733.26101527 53.38264813
53981.70440756 -6.82409964 0.48193185 -56.92428056 6731.11113178 53.43877493
53981.70693601 -7.88584637 0.46016201 -59.03109577 6728.28782479 53.45425848
53981.70945187 -8.36853878 0.46264970 -57.11473677 6725.37151579 53.47049741
